number of wings	minimum price	optimal partition
330	36710	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
331	36820	6, 25, 25, 25, 25, 25, 25, 25, 25, 125
332	36935	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
333	37050	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 125
334	37160	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
335	37275	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
336	37390	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
337	37500	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
338	37615	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
339	37730	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
340	37840	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
341	37955	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
342	38070	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
343	38180	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
344	38295	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
345	38410	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
346	38520	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
347	38635	4, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
348	38750	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
349	38860	6, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 125
350	38920	25, 25, 25, 25, 25, 25, 25, 25, 25, 125
351	39035	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
352	39150	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27
353	39260	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
354	39375	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
355	39490	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
356	39600	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
357	39715	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
358	39830	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
359	39940	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
360	40055	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
361	40170	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
362	40280	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
363	40395	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
364	40510	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
365	40620	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
366	40735	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
367	40850	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
368	40960	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
369	41075	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
370	41190	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
371	41300	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
372	41415	4, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
373	41530	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
374	41640	6, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
375	41700	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
376	41815	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
377	41930	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27
378	42040	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
379	42155	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
380	42270	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
381	42380	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
382	42495	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
383	42610	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
384	42720	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
385	42835	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
386	42950	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
387	43060	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
388	43175	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
389	43290	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
390	43400	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
391	43515	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
392	43630	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
393	43740	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
394	43855	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
395	43970	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
396	44080	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
397	44195	4, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
398	44310	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
399	44420	6, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
400	44480	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
401	44595	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
402	44710	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27
403	44820	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
404	44935	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
405	45050	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
406	45160	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
407	45275	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
408	45390	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
409	45500	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
410	45615	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
411	45730	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
412	45840	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
413	45955	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
414	46070	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
415	46180	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
416	46295	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
417	46410	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
418	46520	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
419	46635	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
420	46750	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
421	46860	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
422	46975	4, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 125
423	47090	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
